BIS,Count
3.0,0
8.0,0
13.0,0
18.0,0
23.0,0
28.0,0
33.0,0
38.0,32
43.0,1302
48.0,3600
53.0,3722
58.0,1325
63.0,19
68.0,0
73.0,0
78.0,0
83.0,0
88.0,0
93.0,0
98.0,0
