BIS,Count
3.0,0
8.0,0
13.0,0
18.0,1
23.0,9
28.0,16
33.0,63
38.0,67
43.0,110
48.0,144
53.0,113
58.0,113
63.0,119
68.0,88
73.0,86
78.0,44
83.0,25
88.0,2
93.0,0
98.0,0
