BIS,Count
3.0,0
8.0,0
13.0,0
18.0,0
23.0,0
28.0,0
33.0,0
38.0,4
43.0,127
48.0,348
53.0,388
58.0,132
63.0,1
68.0,0
73.0,0
78.0,0
83.0,0
88.0,0
93.0,0
98.0,0
